Name,doc_type,committee,date,submission_url,pdf_file,Unnamed: 6,item,summary,entity_label,short_sum,sentiment
Revision tracked version 22 [NBE Bill - draft only],Official advice,Environment Committee,17 July 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN17380////63f890800caaf350647f6650e6b1746cd6d48d67,submissions////48e24059-0391-4f1e-9f87-48cbbf6aab6b.pdf,,Natural and Built Environment Bill,"The briefing discusses proposed amendments to the Natural and Built Environment Bill for consideration by the select committee. The amendments cover various aspects of the bill, including the purpose of the act, decision-making principles, restrictions on land and water use, national planning framework, resource consenting process, and management of water and contaminated land. The main recommendation is to include provisions for freshwater farm plans, which would require farms to have certified plans to manage their impact on freshwater quality.",organisation,"The briefing proposes amendments to the Natural and Built Environment Bill, including the inclusion of provisions for freshwater farm plans to manage the impact of farms on freshwater quality.",0.7570251822471619
MfE (Further advice about reinserting public access areas as a place of national importance),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN17230////2691c644b9aa14abc513b98d774ff0b2ff188704,submissions////9aae6f55-bff0-4600-8ffa-a7d3624aa571.pdf,,Natural and Built Environment Bill,"The officials do not recommend reinserting public access areas into the definition of places of national importance (PNI) for several reasons. They argue that the PNI framework is designed to manage places with attributes that cannot be replaced or substituted for, and public access areas can often be replaced or substituted. They also note that existing public access is well protected by other legal mechanisms, such as vesting land in the Crown or councils, and there are extensive laws that restrict road stopping. They also point out that many places that legally provide public access are not actually used for that purpose, and including public access in the definition could potentially reduce public access. They also mention that the similar Australian framework for managing places of national significance does not cover places that provide public access.",organisation,"Officials do not recommend including public access areas in the definition of places of national importance due to the replaceability of public access, existing legal protections, potential reduction of public access, and the lack of coverage in the Australian framework.",0.9640917778015137
MfE (Initial briefing 3 - Attachment 5.1 (b10)- Consenting slides) [updated],Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN17221////3a82e19bb289505eb96cb9b16568b95dda36e840,submissions////75c88805-da7f-4f68-b796-d5f9b8f50d6c.pdf,,Natural and Built Environment Bill,"The briefing discusses various aspects of the Spatial Planning Bill and Natural and Built Environment Bill. It highlights key points related to the consenting process, decision-making criteria, notification requirements, and alternative consenting pathways. 

The main recommendation is to adopt a more efficient and outcome-focused approach to consenting. This includes clearer activity categories, monitoring of permitted activities, and a strategic approach to notification. The briefing also recommends reducing requirements for hearing notified consents and restrictions on requesting further information. Additionally, it suggests removing the council's ability to extend timeframes beyond a certain limit.

Other recommendations include the establishment of voluntary regional alternative dispute resolution (ADR) for controlled activities, the introduction of new consenting pathways for nationally significant proposals and specified housing and infrastructure projects, and the inclusion of provisions for adaptive management and variation of consent conditions.

Overall, the briefing emphasizes the need for a streamlined and effective consenting process that prioritizes outcomes and reduces unnecessary delays.",organisation,"The briefing recommends adopting a more efficient and outcome-focused approach to consenting, including clearer activity categories, reduced requirements for hearing notified consents, and the establishment of voluntary regional alternative dispute resolution (ADR) for controlled activities.",0.9352813959121704
Ministry for the Environment (Departmental report - Tranche 2 - Natural and Built Environment Bill).,Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16741////07ba6c2736b244187b88c751da8be7dbfe9c4cb8,submissions////eac7325d-61b6-400d-b7b3-b736329e3127.pdf,,Natural and Built Environment Bill,"The main recommendation in this briefing is to make amendments to the Natural and Built Environment Bill (NBE Bill) regarding the establishment and composition of Regional Planning Committees (RPCs). The briefing recommends that the RPCs should have separate legal standing and independence from local authorities, while still being a committee of all councils in each region. It also recommends that the RPCs should have a role in enabling integrated and strategic decision-making on the Regional Spatial Strategy (RSS) and the NBE plan. Additionally, the briefing recommends clarifying the requirements for Māori membership on the RPCs and the role of the central government member. The briefing also addresses concerns raised by submitters regarding the complexity of the process for agreeing on RPC composition and the democratic accountability of RPC members. Overall, the main recommendation is to ensure effective collaboration and representation in the development of the RSS and NBE plan.",organisation,The main recommendation in this briefing is to amend the NBE Bill to establish independent Regional Planning Committees with a role in decision-making and representation in the development of the RSS and NBE plan.,0.9857420921325684
Ministry for the Environment (Departmental report - Tranche 1 - Natural and Built Environment Bill),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16722////39907c9894d341de5b1cd44a63856b9973d29088,submissions////e0413041-1074-4fe5-bb5e-5fe0affc8390.pdf,,Natural and Built Environment Bill,"The briefing is a departmental report on the Natural and Built Environment Bill. It provides a summary of submitters' comments and the Ministry for the Environment's recommended amendments to the Bill. The main focus of the report is on the purpose and preliminary matters of the Bill, including the title, commencement date, and the purpose of the Act. 

The main recommendation is to amend clause 3 of the Bill to have a single purpose statement that upholds Te Oranga o te Taiao (the health of the natural environment) and clarifies that use and development should support intergenerational well-being. The purpose should also be simplified by removing certain aspects that are adequately covered in other parts of the Bill. Additionally, the definition of Te Oranga o te Taiao should be moved into clause 3 and augmented to clarify the relationships between the health of the natural environment and the well-being of people and communities. 

The report also recommends adding a further clause to identify the key mechanisms for achieving the purpose of the Bill, such as system outcomes, limits and targets, decision-making principles, and provisions for places of national importance and highly vulnerable biodiversity areas. 

Overall, the main recommendation is to clarify and strengthen the purpose of the Bill and ensure that it gives effect to the principles of Te Tiriti o Waitangi.",organisation,"The briefing recommends amending the Natural and Built Environment Bill to clarify and strengthen its purpose, ensuring it upholds the health of the natural environment and supports intergenerational well-being, while also giving effect to the principles of Te Tiriti o Waitangi.",0.9652029871940613
Ministry for the Environment (Departmental report - Tranche 2 - Appendix 2),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16744////4aa46842ccc11384b88dfee1766a407a28c31f84,submissions////a2e8e977-0687-4620-9fc4-bdf5f60cb0f4.pdf,,Natural and Built Environment Bill,"The main recommendation of this briefing is to make amendments to the Marine and Coastal Area (Takutai Moana) Act 2011 (te Takutai Moana Act) by replacing certain definitions and cross-references with those from the Natural and Built Environments Act 2023 (NBA). The briefing recommends replacing RMA-related definitions in the te Takutai Moana Act with NBA definitions for various terms such as aquaculture activities, coastal permit, consent authority, environment, kaitiakitanga, plan, proposed plan, public notice, regional council, and resource consent. It also suggests retaining the RMA definition of infrastructure and network utility operator for te Takutai Moana Act purposes instead of using the broader NBA definitions. Other recommendations include inserting NBA definitions, replacing RMA-related definitions, and correcting cross-references in various sections of the te Takutai Moana Act. The briefing also recommends making amendments to the transitional provisions of the Act to align with the NBA and Spatial Planning Act 2023.",organisation,"The briefing recommends amending the Marine and Coastal Area (Takutai Moana) Act 2011 by replacing certain definitions and cross-references with those from the Natural and Built Environments Act 2023, as well as making other amendments to align with the NBA and Spatial Planning Act 2023.",0.9635124206542969
Ministry for the Environment (Explanation of weighting terminology for SP and NBE Bills),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16738////3b15c8bff2ff18bf191a5ca100433b551b28ac7e,submissions////d2e916ed-56ac-4388-bbdf-fe7efa12a7ae.pdf,,Natural and Built Environment Bill,"The briefing explains the weighting terminology used in the Spatial Planning Bill and Natural and Built Environment Bill. It provides the general policy intent behind each term and how they are intended to be used in their wider context. The briefing also notes that the use of ""may"" or ""must"" with these terms will affect their hierarchy.

The main recommendation is to provide a strong directive and create a firm obligation on decision-makers to implement something by using the term ""give effect."" This term requires careful justification and puts a strong direction on decision-makers. Another recommendation is to have particular regard to certain factors, which means decision-makers should consider them and give them weight. The briefing also suggests that decision-makers can discount factors that are not relevant.

Other recommendations include having regard to or taking into account certain factors, which carry a less strong obligation and allow decision-makers to attribute weight as they see fit. The briefing also recommends ensuring consistency between documents and avoiding inconsistency with the subject.

Overall, the main recommendation is to use the term ""give effect"" to provide a strong directive and create a firm obligation on decision-makers.",organisation,"The briefing recommends using the term ""give effect"" to provide a strong directive and firm obligation on decision-makers in the Spatial Planning Bill and Natural and Built Environment Bill.",0.911979079246521
Ministry for the Environment (Departmental report - Tranche 3(B)),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16761////fa2f2c8404f7dab4ed65ca78997b6aac93c5d7ea,submissions////0b12c143-98ca-400a-b240-e7f7cd00d7cb.pdf,,Natural and Built Environment Bill,"The main recommendation in this briefing is to clarify the definitions and application of the resource allocation principles in the Natural and Built Environment Bill. The briefing suggests defining the principles and clarifying that the principle of sustainability refers to environmental sustainability. It also recommends strengthening the statutory weighting of the principles to require decision makers to ""have particular regard"" to them. Additionally, the briefing addresses concerns raised by Māori submitters regarding the allocation of freshwater resources and suggests that no substantive changes are needed in this area.",organisation,"The briefing recommends clarifying and strengthening the resource allocation principles in the Natural and Built Environment Bill, while addressing concerns about freshwater resource allocation raised by Māori submitters.",0.9678536057472229
Ministry for the Environment (Departmental report - Tranche 3(A)),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16743////0600c5c9b216119b2e262149643fac08c71a1c57,submissions////30f6ca29-0ff8-4fda-9103-0c2288e89de2.pdf,,Natural and Built Environment Bill,"recommended that the clause be amended to include a reference to climate change and the need to adapt to it. They also suggested adding a reference to public access and the cumulative impact of permitted activities on environmental limits. They further recommended including provisions for resolving conflicts and controlling development to ensure community safety and resilience. 

Subclause 102(2) 
NZPI recommended adding a reference to geothermal resources and the management of their cumulative effects. They also suggested including provisions for electricity distribution infrastructure, aggregate resources, and supply chains to support housing and infrastructure development. 

Subclause 102(3) 
Waikato Civil Defence Emergency Group suggested that Civil Defence and Emergency Management should be consulted on matters relating to natural hazards. 

Response 
The recommendations made by submitters align with the policy intent of the clause and would enhance the content of plans. Therefore, it is recommended that the clause be amended to include the additional matters suggested by submitters. 

Recommendation 
9. We recommend that you amend clause 102 to include the additional matters suggested by submitters, including references to climate change, public access, cumulative effects of permitted activities, geothermal resources, electricity distribution infrastructure, aggregate resources, supply chains, conflict resolution, community safety and resilience, drainage infrastructure, integration of land use and transport, and provisions reflecting limits/minimum targets.",organisation,"The clause should be amended to include references to climate change, public access, cumulative effects of permitted activities, geothermal resources, electricity distribution infrastructure, aggregate resources, supply chains, conflict resolution, community safety and resilience, drainage infrastructure, integration of land use and transport, and provisions reflecting limits/minimum targets.",0.7500619888305664
Ministry for the Environment (Indicative NPF content),Official advice,Environment Committee,29 June 2023,https:////////www.parliament.nz////resource////en-NZ////53SCEN_ADV_129831_EN16737////2919b376ec9766b08552297801081bdabafc7dd1,submissions////8eab80c6-953d-415a-9b53-1a5614764745.pdf,,Natural and Built Environment Bill,"This briefing outlines the proposed content for the National Planning Framework (NPF) in various domains such as freshwater, urban development, infrastructure, coastal and marine, biodiversity, soil, air, climate change and natural hazards, cultural heritage, outstanding natural features and landscapes, highly productive land, and plan processes. It includes the direction, policies, standards, regulations, and monitoring requirements for each domain. 

The briefing also mentions the need for future amendments to the NPF to incorporate emerging national direction and requirements. This includes potential amendments to the NPF based on the Resource Management Act (RMA) and the Natural and Built Environment Bill (NBE Bill). The proposed content for future amendments includes plantation forestry, drinking water, renewable electricity generation, electricity transmission, indigenous biodiversity, natural hazards, minimum level targets, enabling papakāinga on Māori land, places of national importance, and further direction on system outcomes not covered by existing RMA national direction.

The main recommendation is to proceed with the proposed content for the first NPF and to continue working on determining the scope and content for future amendments to the NPF.",organisation,The briefing proposes the content for the National Planning Framework (NPF) in various domains and recommends proceeding with the proposed content for the first NPF while continuing to work on future amendments.,0.9606490135192871
